"gender","department","job_title","total_salary","current_year","birth_year","hired_year","termination_year","status","employees"
Female,Finance,Accountant,204260.11000000002,2025,1974,2020,2020,Inactive,5
Female,Finance,Accountant,432854.19000000006,2025,1974,2020,2021,Inactive,10
Female,Finance,Accountant,416879.51999999996,2025,1974,2020,2022,Inactive,10
Female,Finance,Accountant,327448.11,2025,1974,2020,2023,Inactive,8
Female,Finance,Accountant,322139.38000000006,2025,1974,2020,2024,Inactive,8
Female,Finance,Accountant,71737.04000000001,2025,1974,2020,2025,Inactive,2
Female,Finance,Accountant,3078423.8899999987,2025,1974,2020,,Active,78
Female,Finance,Accounts Payable Specialist,210246.01,2025,1974,2020,2020,Inactive,5
Female,Finance,Accounts Payable Specialist,374796.36,2025,1974,2020,2021,Inactive,10
Female,Finance,Accounts Payable Specialist,448233.35,2025,1974,2020,2022,Inactive,11
Female,Finance,Accounts Payable Specialist,248182.22000000003,2025,1974,2020,2023,Inactive,6
Female,Finance,Accounts Payable Specialist,143681.47999999998,2025,1974,2020,2024,Inactive,4
Female,Finance,Accounts Payable Specialist,171662.56,2025,1974,2020,2025,Inactive,4
Female,Finance,Accounts Payable Specialist,3120133.9400000004,2025,1974,2020,,Active,78
Female,Finance,Accounts Receivable Specialist,257888.01999999996,2025,1974,2020,2020,Inactive,6
Female,Finance,Accounts Receivable Specialist,219722.11,2025,1974,2020,2021,Inactive,6
Female,Finance,Accounts Receivable Specialist,233866.78,2025,1974,2020,2022,Inactive,6
Female,Finance,Accounts Receivable Specialist,450329.58999999997,2025,1974,2020,2023,Inactive,11
Female,Finance,Accounts Receivable Specialist,243592.01,2025,1974,2020,2024,Inactive,7
Female,Finance,Accounts Receivable Specialist,75041.42,2025,1974,2020,2025,Inactive,2
Female,Finance,Accounts Receivable Specialist,3815080.369999999,2025,1974,2020,,Active,93
Female,Finance,Bookkeeper,364502.79,2025,1974,2020,2020,Inactive,9
Female,Finance,Bookkeeper,263874.79,2025,1974,2020,2021,Inactive,6
Female,Finance,Bookkeeper,372183.01999999996,2025,1974,2020,2022,Inactive,9
Female,Finance,Bookkeeper,273175.78,2025,1974,2020,2023,Inactive,7
Female,Finance,Bookkeeper,166144.11,2025,1974,2020,2024,Inactive,4
Female,Finance,Bookkeeper,80686.73000000001,2025,1974,2020,2025,Inactive,2
Female,Finance,Bookkeeper,3082388.7699999996,2025,1974,2020,,Active,75
Female,Finance,Budget Analyst,354364.55999999994,2025,1974,2020,2020,Inactive,9
Female,Finance,Budget Analyst,270994.18,2025,1974,2020,2021,Inactive,7
Female,Finance,Budget Analyst,480912.5800000001,2025,1974,2020,2022,Inactive,11
Female,Finance,Budget Analyst,347689.42,2025,1974,2020,2023,Inactive,8
Female,Finance,Budget Analyst,439604.68,2025,1974,2020,2024,Inactive,10
Female,Finance,Budget Analyst,86013.25,2025,1974,2020,2025,Inactive,2
Female,Finance,Budget Analyst,2893485.159999999,2025,1974,2020,,Active,73
Female,Finance,Compliance Analyst,82133.32,2025,1974,2020,2020,Inactive,2
Female,Finance,Compliance Analyst,563489.4299999999,2025,1974,2020,2021,Inactive,13
Female,Finance,Compliance Analyst,259714.76,2025,1974,2020,2022,Inactive,6
Female,Finance,Compliance Analyst,274964.88,2025,1974,2020,2023,Inactive,7
Female,Finance,Compliance Analyst,337696.05,2025,1974,2020,2024,Inactive,8
Female,Finance,Compliance Analyst,69982.35,2025,1974,2020,2025,Inactive,2
Female,Finance,Compliance Analyst,3495440.75,2025,1974,2020,,Active,90
Female,Finance,Controller,41464.49,2025,1974,2020,2020,Inactive,1
Female,Finance,Controller,282286.95,2025,1974,2020,2021,Inactive,7
Female,Finance,Controller,292038.04,2025,1974,2020,2022,Inactive,7
Female,Finance,Controller,75148.89000000001,2025,1974,2020,2023,Inactive,2
Female,Finance,Controller,388988.82,2025,1974,2020,2024,Inactive,10
Female,Finance,Controller,84561.02,2025,1974,2020,2025,Inactive,2
Female,Finance,Controller,3493462.7299999986,2025,1974,2020,,Active,88
Female,Finance,Cost Analyst,137571.99,2025,1974,2020,2020,Inactive,4
Female,Finance,Cost Analyst,221052.48999999996,2025,1974,2020,2021,Inactive,6
Female,Finance,Cost Analyst,293402.09,2025,1974,2020,2022,Inactive,8
Female,Finance,Cost Analyst,81788.17,2025,1974,2020,2023,Inactive,2
Female,Finance,Cost Analyst,156377.45,2025,1974,2020,2024,Inactive,4
Female,Finance,Cost Analyst,48756.79,2025,1974,2020,2025,Inactive,1
Female,Finance,Cost Analyst,3497416.5100000002,2025,1974,2020,,Active,86
Female,Finance,Credit Analyst,42797.85,2025,1974,2020,2020,Inactive,1
Female,Finance,Credit Analyst,212962.2,2025,1974,2020,2021,Inactive,5
Female,Finance,Credit Analyst,232369.27000000002,2025,1974,2020,2022,Inactive,6
Female,Finance,Credit Analyst,145589.4,2025,1974,2020,2023,Inactive,4
Female,Finance,Credit Analyst,239857.09999999998,2025,1974,2020,2024,Inactive,6
Female,Finance,Credit Analyst,77104.9,2025,1974,2020,2025,Inactive,2
Female,Finance,Credit Analyst,3071188.0500000007,2025,1974,2020,,Active,77
Female,Finance,Finance Director,169761.09,2025,1974,2020,2020,Inactive,4
Female,Finance,Finance Director,341984.8300000001,2025,1974,2020,2021,Inactive,8
Female,Finance,Finance Director,458223.82999999996,2025,1974,2020,2022,Inactive,11
Female,Finance,Finance Director,217700.66999999998,2025,1974,2020,2023,Inactive,5
Female,Finance,Finance Director,458851.04,2025,1974,2020,2024,Inactive,12
Female,Finance,Finance Director,82178.62,2025,1974,2020,2025,Inactive,2
Female,Finance,Finance Director,3428099.6999999993,2025,1974,2020,,Active,86
Female,Finance,Finance Manager,279442.89,2025,1974,2020,2020,Inactive,7
Female,Finance,Finance Manager,325303.83999999997,2025,1974,2020,2021,Inactive,8
Female,Finance,Finance Manager,310658.61,2025,1974,2020,2022,Inactive,7
Female,Finance,Finance Manager,217797.7,2025,1974,2020,2023,Inactive,5
Female,Finance,Finance Manager,467296.11,2025,1974,2020,2024,Inactive,12
Female,Finance,Finance Manager,86227.35,2025,1974,2020,2025,Inactive,2
Female,Finance,Finance Manager,3011285.6500000004,2025,1974,2020,,Active,75
Female,Finance,Financial Analyst,164482.11,2025,1974,2020,2020,Inactive,4
Female,Finance,Financial Analyst,247739.15000000002,2025,1974,2020,2021,Inactive,6
Female,Finance,Financial Analyst,291489.89,2025,1974,2020,2022,Inactive,7
Female,Finance,Financial Analyst,304160.63,2025,1974,2020,2023,Inactive,8
Female,Finance,Financial Analyst,309424.55999999994,2025,1974,2020,2024,Inactive,8
Female,Finance,Financial Analyst,80422.41,2025,1974,2020,2025,Inactive,2
Female,Finance,Financial Analyst,3015702.520000002,2025,1974,2020,,Active,78
Female,Finance,Financial Planner,194882.96999999997,2025,1974,2020,2020,Inactive,5
Female,Finance,Financial Planner,122661.25,2025,1974,2020,2021,Inactive,3
Female,Finance,Financial Planner,321297.43,2025,1974,2020,2022,Inactive,8
Female,Finance,Financial Planner,266202.82999999996,2025,1974,2020,2023,Inactive,7
Female,Finance,Financial Planner,266507.21,2025,1974,2020,2024,Inactive,6
Female,Finance,Financial Planner,31473.42,2025,1974,2020,2025,Inactive,1
Female,Finance,Financial Planner,3575463.569999999,2025,1974,2020,,Active,89
Female,Finance,Internal Auditor,471075.4800000001,2025,1974,2020,2020,Inactive,11
Female,Finance,Internal Auditor,126935.68999999999,2025,1974,2020,2021,Inactive,3
Female,Finance,Internal Auditor,332675.36,2025,1974,2020,2022,Inactive,8
Female,Finance,Internal Auditor,149517.09,2025,1974,2020,2023,Inactive,4
Female,Finance,Internal Auditor,229442.72999999998,2025,1974,2020,2024,Inactive,6
Female,Finance,Internal Auditor,125356.40000000001,2025,1974,2020,2025,Inactive,3
Female,Finance,Internal Auditor,3487072.7399999993,2025,1974,2020,,Active,86
Female,Finance,Investment Analyst,65599.70999999999,2025,1974,2020,2020,Inactive,2
Female,Finance,Investment Analyst,122468.07,2025,1974,2020,2021,Inactive,3
Female,Finance,Investment Analyst,246907.6,2025,1974,2020,2022,Inactive,6
Female,Finance,Investment Analyst,307600.14999999997,2025,1974,2020,2023,Inactive,8
Female,Finance,Investment Analyst,358518.02999999997,2025,1974,2020,2024,Inactive,8
Female,Finance,Investment Analyst,30143.28,2025,1974,2020,2025,Inactive,1
Female,Finance,Investment Analyst,3205409.860000001,2025,1974,2020,,Active,80
Female,Finance,Payroll Analyst,215840.12,2025,1974,2020,2020,Inactive,5
Female,Finance,Payroll Analyst,444417.23,2025,1974,2020,2021,Inactive,11
Female,Finance,Payroll Analyst,453939.95000000007,2025,1974,2020,2022,Inactive,11
Female,Finance,Payroll Analyst,183378.36,2025,1974,2020,2023,Inactive,5
Female,Finance,Payroll Analyst,122119.29999999999,2025,1974,2020,2024,Inactive,3
Female,Finance,Payroll Analyst,40849.64,2025,1974,2020,2025,Inactive,1
Female,Finance,Payroll Analyst,3295289.6599999997,2025,1974,2020,,Active,83
Female,Finance,Revenue Analyst,199645.31,2025,1974,2020,2020,Inactive,5
Female,Finance,Revenue Analyst,340106.37,2025,1974,2020,2021,Inactive,8
Female,Finance,Revenue Analyst,266769.78,2025,1974,2020,2022,Inactive,7
Female,Finance,Revenue Analyst,337121.56,2025,1974,2020,2023,Inactive,8
Female,Finance,Revenue Analyst,127036.49000000002,2025,1974,2020,2024,Inactive,3
Female,Finance,Revenue Analyst,63623.009999999995,2025,1974,2020,2025,Inactive,2
Female,Finance,Revenue Analyst,2991849.6699999995,2025,1974,2020,,Active,75
Female,Finance,Risk Analyst,192977.05,2025,1974,2020,2020,Inactive,5
Female,Finance,Risk Analyst,376541.02999999997,2025,1974,2020,2021,Inactive,9
Female,Finance,Risk Analyst,252326.48,2025,1974,2020,2022,Inactive,6
Female,Finance,Risk Analyst,148656.84999999998,2025,1974,2020,2023,Inactive,4
Female,Finance,Risk Analyst,423144.05000000005,2025,1974,2020,2024,Inactive,11
Female,Finance,Risk Analyst,40691.85,2025,1974,2020,2025,Inactive,1
Female,Finance,Risk Analyst,3503439.4400000004,2025,1974,2020,,Active,86
Female,Finance,Tax Analyst,83710.98000000001,2025,1974,2020,2020,Inactive,2
Female,Finance,Tax Analyst,158899.74,2025,1974,2020,2021,Inactive,4
Female,Finance,Tax Analyst,567416.47,2025,1974,2020,2022,Inactive,13
Female,Finance,Tax Analyst,168292.97999999998,2025,1974,2020,2023,Inactive,4
Female,Finance,Tax Analyst,464473.80000000005,2025,1974,2020,2024,Inactive,12
Female,Finance,Tax Analyst,129315.01999999999,2025,1974,2020,2025,Inactive,3
Female,Finance,Tax Analyst,3227465.779999999,2025,1974,2020,,Active,81
Female,Finance,Treasury Analyst,195404.02,2025,1974,2020,2020,Inactive,5
Female,Finance,Treasury Analyst,395826.02999999997,2025,1974,2020,2021,Inactive,10
Female,Finance,Treasury Analyst,213722.66,2025,1974,2020,2022,Inactive,5
Female,Finance,Treasury Analyst,117265.3,2025,1974,2020,2023,Inactive,3
Female,Finance,Treasury Analyst,277589.68,2025,1974,2020,2024,Inactive,7
Female,Finance,Treasury Analyst,77210.81,2025,1974,2020,2025,Inactive,2
Female,Finance,Treasury Analyst,3444549.17,2025,1974,2020,,Active,88
Female,Human Resources,Compensation and Benefits Analyst,187762.69999999998,2025,1974,2020,2020,Inactive,5
Female,Human Resources,Compensation and Benefits Analyst,484735.01,2025,1974,2020,2021,Inactive,12
Female,Human Resources,Compensation and Benefits Analyst,411484.18000000005,2025,1974,2020,2022,Inactive,10
Female,Human Resources,Compensation and Benefits Analyst,231577.6,2025,1974,2020,2023,Inactive,6
Female,Human Resources,Compensation and Benefits Analyst,318985.36000000004,2025,1974,2020,2024,Inactive,9
Female,Human Resources,Compensation and Benefits Analyst,73296.87,2025,1974,2020,2025,Inactive,2
Female,Human Resources,Compensation and Benefits Analyst,4143014.290000001,2025,1974,2020,,Active,104
Female,Human Resources,Diversity and Inclusion Manager,357602.04000000004,2025,1974,2020,2020,Inactive,9
Female,Human Resources,Diversity and Inclusion Manager,271737.23,2025,1974,2020,2021,Inactive,7
Female,Human Resources,Diversity and Inclusion Manager,427270.41000000003,2025,1974,2020,2022,Inactive,10
Female,Human Resources,Diversity and Inclusion Manager,448258.55,2025,1974,2020,2023,Inactive,12
Female,Human Resources,Diversity and Inclusion Manager,388980.08999999997,2025,1974,2020,2024,Inactive,10
Female,Human Resources,Diversity and Inclusion Manager,76541.45999999999,2025,1974,2020,2025,Inactive,2
Female,Human Resources,Diversity and Inclusion Manager,4102762.7899999996,2025,1974,2020,,Active,101
Female,Human Resources,Employee Relations Specialist,336837.50000000006,2025,1974,2020,2020,Inactive,9
Female,Human Resources,Employee Relations Specialist,319119.95,2025,1974,2020,2021,Inactive,7
Female,Human Resources,Employee Relations Specialist,508918.12,2025,1974,2020,2022,Inactive,13
Female,Human Resources,Employee Relations Specialist,450624.04000000004,2025,1974,2020,2023,Inactive,12
Female,Human Resources,Employee Relations Specialist,287468.33,2025,1974,2020,2024,Inactive,7
Female,Human Resources,Employee Relations Specialist,42793.17,2025,1974,2020,2025,Inactive,1
Female,Human Resources,Employee Relations Specialist,3655529.97,2025,1974,2020,,Active,90
Female,Human Resources,HR Assistant,257608.41999999998,2025,1974,2020,2020,Inactive,6
Female,Human Resources,HR Assistant,309564.38999999996,2025,1974,2020,2021,Inactive,8
Female,Human Resources,HR Assistant,245661.56,2025,1974,2020,2022,Inactive,6
Female,Human Resources,HR Assistant,319377.7,2025,1974,2020,2023,Inactive,8
Female,Human Resources,HR Assistant,366045.86,2025,1974,2020,2024,Inactive,9
Female,Human Resources,HR Assistant,86458.38,2025,1974,2020,2025,Inactive,2
Female,Human Resources,HR Assistant,3916290.269999999,2025,1974,2020,,Active,97
Female,Human Resources,HR Business Partner,240610.88,2025,1974,2020,2020,Inactive,6
Female,Human Resources,HR Business Partner,289297.04,2025,1974,2020,2021,Inactive,7
Female,Human Resources,HR Business Partner,249660.7,2025,1974,2020,2022,Inactive,6
Female,Human Resources,HR Business Partner,431862.68000000005,2025,1974,2020,2023,Inactive,10
Female,Human Resources,HR Business Partner,428616.93,2025,1974,2020,2024,Inactive,10
Female,Human Resources,HR Business Partner,83105.86,2025,1974,2020,2025,Inactive,2
Female,Human Resources,HR Business Partner,3615759.68,2025,1974,2020,,Active,91
Female,Human Resources,HR Compliance Officer,261626.64999999997,2025,1974,2020,2020,Inactive,6
Female,Human Resources,HR Compliance Officer,202944.5,2025,1974,2020,2021,Inactive,5
Female,Human Resources,HR Compliance Officer,277578.24999999994,2025,1974,2020,2022,Inactive,7
Female,Human Resources,HR Compliance Officer,192157.11,2025,1974,2020,2023,Inactive,5
Female,Human Resources,HR Compliance Officer,192050.40999999997,2025,1974,2020,2024,Inactive,5
Female,Human Resources,HR Compliance Officer,76176.54999999999,2025,1974,2020,2025,Inactive,2
Female,Human Resources,HR Compliance Officer,3413937.3800000004,2025,1974,2020,,Active,84
Female,Human Resources,HR Coordinator,192644.42,2025,1974,2020,2020,Inactive,5
Female,Human Resources,HR Coordinator,255545.26000000004,2025,1974,2020,2021,Inactive,6
Female,Human Resources,HR Coordinator,430954.14999999997,2025,1974,2020,2022,Inactive,11
Female,Human Resources,HR Coordinator,319017.74,2025,1974,2020,2023,Inactive,8
Female,Human Resources,HR Coordinator,450128.36,2025,1974,2020,2024,Inactive,11
Female,Human Resources,HR Coordinator,92678.55,2025,1974,2020,2025,Inactive,2
Female,Human Resources,HR Coordinator,3654929.429999999,2025,1974,2020,,Active,90
Female,Human Resources,HR Data Analyst,302331.02,2025,1974,2020,2020,Inactive,7
Female,Human Resources,HR Data Analyst,303782.69,2025,1974,2020,2021,Inactive,7
Female,Human Resources,HR Data Analyst,240755.65000000002,2025,1974,2020,2022,Inactive,6
Female,Human Resources,HR Data Analyst,179461.94,2025,1974,2020,2023,Inactive,4
Female,Human Resources,HR Data Analyst,345845.43000000005,2025,1974,2020,2024,Inactive,9
Female,Human Resources,HR Data Analyst,3057003.6799999997,2025,1974,2020,,Active,75
Female,Human Resources,HR Director,344432.27999999997,2025,1974,2020,2020,Inactive,8
Female,Human Resources,HR Director,288091.99,2025,1974,2020,2021,Inactive,7
Female,Human Resources,HR Director,280873.28,2025,1974,2020,2022,Inactive,8
Female,Human Resources,HR Director,469236.56999999995,2025,1974,2020,2023,Inactive,12
Female,Human Resources,HR Director,130254.20999999999,2025,1974,2020,2024,Inactive,3
Female,Human Resources,HR Director,38175.18,2025,1974,2020,2025,Inactive,1
Female,Human Resources,HR Director,4386031.71,2025,1974,2020,,Active,112
Female,Human Resources,HR Generalist,116529.84,2025,1974,2020,2020,Inactive,3
Female,Human Resources,HR Generalist,340000.78,2025,1974,2020,2021,Inactive,8
Female,Human Resources,HR Generalist,316741.49000000005,2025,1974,2020,2022,Inactive,8
Female,Human Resources,HR Generalist,274405.27999999997,2025,1974,2020,2023,Inactive,7
Female,Human Resources,HR Generalist,316626.43,2025,1974,2020,2024,Inactive,8
Female,Human Resources,HR Generalist,213070.32,2025,1974,2020,2025,Inactive,5
Female,Human Resources,HR Generalist,3562965.19,2025,1974,2020,,Active,90
Female,Human Resources,HR Manager,297376.98,2025,1974,2020,2020,Inactive,7
Female,Human Resources,HR Manager,427372.98000000004,2025,1974,2020,2021,Inactive,11
Female,Human Resources,HR Manager,488418.1099999999,2025,1974,2020,2022,Inactive,12
Female,Human Resources,HR Manager,444877.04000000004,2025,1974,2020,2023,Inactive,11
Female,Human Resources,HR Manager,138169.15,2025,1974,2020,2024,Inactive,4
Female,Human Resources,HR Manager,116318.73999999999,2025,1974,2020,2025,Inactive,3
Female,Human Resources,HR Manager,3391936.69,2025,1974,2020,,Active,85
Female,Human Resources,Labor Relations Specialist,296784.72000000003,2025,1974,2020,2020,Inactive,8
Female,Human Resources,Labor Relations Specialist,210450.90000000002,2025,1974,2020,2021,Inactive,6
Female,Human Resources,Labor Relations Specialist,283162.47,2025,1974,2020,2022,Inactive,7
Female,Human Resources,Labor Relations Specialist,208674.13999999998,2025,1974,2020,2023,Inactive,5
Female,Human Resources,Labor Relations Specialist,441442.51999999996,2025,1974,2020,2024,Inactive,11
Female,Human Resources,Labor Relations Specialist,113877.98999999999,2025,1974,2020,2025,Inactive,3
Female,Human Resources,Labor Relations Specialist,3852387.7599999993,2025,1974,2020,,Active,96
Female,Human Resources,Onboarding Coordinator,170447.69,2025,1974,2020,2020,Inactive,4
Female,Human Resources,Onboarding Coordinator,243435.03,2025,1974,2020,2021,Inactive,6
Female,Human Resources,Onboarding Coordinator,422736.69999999995,2025,1974,2020,2022,Inactive,11
Female,Human Resources,Onboarding Coordinator,308283.39,2025,1974,2020,2023,Inactive,8
Female,Human Resources,Onboarding Coordinator,503424.61,2025,1974,2020,2024,Inactive,13
Female,Human Resources,Onboarding Coordinator,150105.96000000002,2025,1974,2020,2025,Inactive,4
Female,Human Resources,Onboarding Coordinator,3323085.479999999,2025,1974,2020,,Active,84
Female,Human Resources,Organizational Development Specialist,209264.88999999998,2025,1974,2020,2020,Inactive,5
Female,Human Resources,Organizational Development Specialist,496060.8299999999,2025,1974,2020,2021,Inactive,12
Female,Human Resources,Organizational Development Specialist,106189.85,2025,1974,2020,2022,Inactive,3
